/net07 X,/net07 Y,/net7 X,/net7 Y,/net5 X,/net5 Y,/net4 X,/net4 Y
0,0.9205349037339035,0,0.00660290255685487,0,0.8784901712827105,0,-0.03479393984059818
3e-11,0.920533256680711,3e-11,0.006602896815266565,3e-11,0.8784901715160941,3e-11,-0.0347939401427452
3.75e-11,0.9205330632121423,3.75e-11,0.006602892318050749,3.75e-11,0.8784901715085214,3.75e-11,-0.03479394016959955
5.25e-11,0.9205329577062684,5.25e-11,0.006602891677979695,5.25e-11,0.878490171299251,5.25e-11,-0.0347939400316231
8.25e-11,0.9205329552909162,8.25e-11,0.006602892601343821,8.25e-11,0.8784901708651347,8.25e-11,-0.03479393966526918
9.27950746e-11,0.9205329930844581,9.27950746e-11,0.006602886809862978,9.27950746e-11,0.8784901709438115,9.27950746e-11,-0.03479393972178337
1.133852238e-10,0.9205329982568902,1.133852238e-10,0.006602894151843779,1.133852238e-10,0.8784901711729119,1.133852238e-10,-0.03479393986196572
1.195610712e-10,0.9205328944856093,1.195610712e-10,0.006602898182084353,1.195610712e-10,0.8784901711774409,1.195610712e-10,-0.03479393983698935
1.31912766e-10,0.9205326350735652,1.31912766e-10,0.006602890149716438,1.31912766e-10,0.8784901710903807,1.31912766e-10,-0.03479393969511029
1.566161556e-10,0.9205328663528702,1.566161556e-10,0.00660284004251237,1.566161556e-10,0.878490170970889,1.566161556e-10,-0.03479393943504014
1.62792003e-10,0.9205329951785231,1.62792003e-10,0.006602831118855091,1.62792003e-10,0.8784901709959756,1.62792003e-10,-0.03479393941774393
1.751436978e-10,0.9205331487521244,1.751436978e-10,0.006602827707205365,1.751436978e-10,0.8784901710850295,1.751436978e-10,-0.03479393944004565
1.998470875e-10,0.920533120080292,1.998470875e-10,0.006602866242735632,1.998470875e-10,0.8784901708857279,1.998470875e-10,-0.03479393932605872
2.060229349e-10,0.9205330791026649,2.060229349e-10,0.006602878154016309,2.060229349e-10,0.8784901707333717,2.060229349e-10,-0.03479393924305278
2.183746297e-10,0.9205330358530495,2.183746297e-10,0.006602890555878736,2.183746297e-10,0.878490170385601,2.183746297e-10,-0.03479393904997253
2.430780193e-10,0.9205329903710971,2.430780193e-10,0.006602902058948352,2.430780193e-10,0.878490170204892,2.430780193e-10,-0.03479393904710219
2.582517121e-10,0.9205329602865803,2.582517121e-10,0.006602898194513156,2.582517121e-10,0.8784901705642193,2.582517121e-10,-0.03479393943607256
2.638848969e-10,0.920532960320027,2.638848969e-10,0.006602893223151206,2.638848969e-10,0.8784901707218189,2.638848969e-10,-0.03479393960905298
2.751512665e-10,0.9205330177575215,2.751512665e-10,0.006602880825875589,2.751512665e-10,0.8784901709019129,2.751512665e-10,-0.03479393984069398
2.976840058e-10,0.9205330662008723,2.976840058e-10,0.006602873364189477,2.976840058e-10,0.8784901702966956,2.976840058e-10,-0.03479393929736024
3.046318352e-10,0.9205330584656068,3.046318352e-10,0.006602875197208105,3.046318352e-10,0.8784901699385564,3.046318352e-10,-0.03479393888317735
3.18527494e-10,0.9205330156895253,3.18527494e-10,0.006602884143221901,3.18527494e-10,0.8784901694521344,3.18527494e-10,-0.03479393807465413
3.463188116e-10,0.920533000687898,3.463188116e-10,0.006602888002079186,3.463188116e-10,0.8784901708085926,3.463188116e-10,-0.03479393798183233
3.557652798e-10,0.920533010776813,3.557652798e-10,0.006602885446345072,3.557652798e-10,0.8784901716974467,3.557652798e-10,-0.03479393826230014
3.746582162e-10,0.920533017442513,3.746582162e-10,0.006602884568890494,3.746582162e-10,0.8784901727398591,3.746582162e-10,-0.03479393825018356
3.85373486e-10,0.9205330161008545,3.85373486e-10,0.006602884373984078,3.85373486e-10,0.878490172619794,3.85373486e-10,-0.03479393772631655
4.068040257e-10,0.9205330355053257,4.068040257e-10,0.006602884025439833,4.068040257e-10,0.8784901715756551,4.068040257e-10,-0.03479393634736862
4.159447902e-10,0.920533034746806,4.159447902e-10,0.006602884346733696,4.159447902e-10,0.8784901712526211,4.159447902e-10,-0.03479393602621092
4.342263191e-10,0.9205330192516362,4.342263191e-10,0.00660288617039764,4.342263191e-10,0.8784901714098526,4.342263191e-10,-0.03479393631218001
4.445601007e-10,0.920533010423168,4.445601007e-10,0.006602887891923946,4.445601007e-10,0.8784901718426728,4.445601007e-10,-0.03479393687926896
4.65227664e-10,0.9205330134626777,4.65227664e-10,0.006602887903013362,4.65227664e-10,0.8784901725516976,4.65227664e-10,-0.03479393807414023
4.770412078e-10,0.9205330227645024,4.770412078e-10,0.006602886194657835,4.770412078e-10,0.8784901724855617,4.770412078e-10,-0.0347939384656139
5.006682954e-10,0.9205330273320201,5.006682954e-10,0.006602885941932393,5.006682954e-10,0.8784901713549056,5.006682954e-10,-0.03479393852958103
5.01e-10,0.9205330272644738,5.01e-10,0.006602885965677137,5.01e-10,0.8784901713320366,5.01e-10,-0.03479393852526936
5.016634091e-10,0.9205330271244534,5.016634091e-10,0.006602886009717439,5.016634091e-10,0.8784901712895463,5.016634091e-10,-0.03479393851869836
5.029902274e-10,0.9205330268416748,5.029902274e-10,0.006602886083082518,5.029902274e-10,0.8784901712118892,5.029902274e-10,-0.03479393850998785
5.05643864e-10,0.9205330263924169,5.05643864e-10,0.006602886195696308,5.05643864e-10,0.8784901710669719,5.05643864e-10,-0.03479393849806951
5.109511373e-10,0.9205330262358045,5.109511373e-10,0.006602886421461337,5.109511373e-10,0.8784901708114631,5.109511373e-10,-0.03479393849123179
5.215656838e-10,0.9205330287641172,5.215656838e-10,0.006602887049271989,5.215656838e-10,0.8784901704973676,5.215656838e-10,-0.03479393857749545
5.427947767e-10,0.9205330309998138,5.427947767e-10,0.006602887730160924,5.427947767e-10,0.8784901707400529,5.427947767e-10,-0.03479393909922591
5.700685934e-10,0.9205330291253867,5.700685934e-10,0.006602887963662755,5.700685934e-10,0.8784901715658219,5.700685934e-10,-0.03479393934167633
6.246162267e-10,0.9205330263290432,6.246162267e-10,0.006602887817344469,6.246162267e-10,0.8784901708360452,6.246162267e-10,-0.03479393663580058
